country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Gambia,2025-W44,inaugural,1,100.0,50000.0,1,24h
Burundi,2025-W44,sabotage,1,100.0,50000.0,1,24h
Eritrea,2025-W44,fabrications,1,100.0,50000.0,1,24h
Saint Vincent and the Grenadines,2025-W44,selmon,1,100.0,50000.0,1,24h
Eswatini,2025-W44,mnwap,1,100.0,50000.0,1,7d
Vanuatu,2025-W44,billionaire,1,100.0,50000.0,1,24h
Dominica,2025-W44,consultancy,1,100.0,50000.0,1,7d
Tonga,2025-W44,tala,1,100.0,50000.0,1,24h
Laos,2025-W44,programma,1,100.0,50000.0,1,24h
Liechtenstein,2025-W44,ckli,1,100.0,50000.0,1,24h
Monaco,2025-W44,lucca,2,100.0,33333.33,2,24h
Republic of the Congo,2025-W44,pointe,1,50.0,25000.0,2,24h
Grenada,2025-W44,solidarity,1,50.0,25000.0,2,24h
Nicaragua,2025-W44,prohibi,1,50.0,25000.0,2,24h
Djibouti,2025-W44,guelleh,2,66.67,22222.22,3,24h
Central African Republic,2025-W44,soutenir,1,33.33,16666.67,3,7d
Antigua and Barbuda,2025-W44,notat,1,33.33,16666.67,3,24h
Sao Tome and Principe,2025-W44,ncipe,2,40.0,13333.33,5,24h
Angola,2025-W44,quero,1,25.0,12500.0,4,24h
Solomon Islands,2025-W44,solomon,2,33.33,11111.11,6,24h
Cabo Verde,2025-W44,independente,3,42.86,10714.29,7,24h
Papua New Guinea,2025-W44,darkmoon,1,20.0,10000.0,5,24h
Rwanda,2025-W44,rwanda,4,50.0,10000.0,8,24h
San Marino,2025-W44,evita,1,20.0,10000.0,5,24h
Brunei,2025-W44,brunei,9,100.0,10000.0,9,30d
Bahamas,2025-W44,profile,6,75.0,9375.0,8,24h
Saint Lucia,2025-W44,lucia,6,75.0,9375.0,8,24h
Mongolia,2025-W44,kram,1,16.67,8333.33,6,24h
Samoa,2025-W44,single,1,16.67,8333.33,6,7d
Ethiopia,2025-W44,ethiopian,2,22.22,7407.41,9,24h
Cameroon,2025-W44,chacun,1,14.29,7142.86,7,24h
South Sudan,2025-W44,tamazuj,1,14.29,7142.86,7,24h
Haiti,2025-W44,dhaiti,4,33.33,6666.67,12,24h
Uzbekistan,2025-W44,microsoft,1,12.5,6250.0,8,24h
Chad,2025-W44,tchadien,2,18.18,6060.61,11,7d
Togo,2025-W44,togo,2,18.18,6060.61,11,24h
Gabon,2025-W44,gabonews,9,60.0,6000.0,15,24h
Lesotho,2025-W44,lesotho,1,11.11,5555.56,9,7d
North Korea,2025-W44,pipe,2,15.38,5128.21,13,24h
Maldives,2025-W44,gayoom,2,15.38,5128.21,13,7d
Fiji,2025-W44,fiji,4,23.53,4705.88,17,24h
Burkina Faso,2025-W44,burkina,7,36.84,4605.26,19,24h
Montenegro,2025-W44,crna,2,13.33,4444.44,15,24h
Cote d'Ivoire,2025-W44,pdci,3,21.43,4285.71,14,24h
Sierra Leone,2025-W44,leone,2,12.5,4166.67,16,24h
Zambia,2025-W44,hichilema,3,16.67,4166.67,18,7d
Tanzania,2025-W44,reports,16,84.21,4010.03,19,24h
Mali,2025-W44,carburant,5,23.81,3968.25,21,24h
Seychelles,2025-W44,herminie,4,19.05,3809.52,21,7d
Costa Rica,2025-W44,costa,7,31.82,3535.35,22,24h
Niger,2025-W44,wike,2,10.53,3508.77,19,24h
Senegal,2025-W44,louis,4,16.0,3200.0,25,24h
Belize,2025-W44,belize,22,73.33,3188.41,30,24h
Bulgaria,2025-W44,fakti,16,53.33,3137.25,30,24h
Venezuela,2025-W44,entornointeligente,3,12.5,3125.0,24,24h
Somalia,2025-W44,qaranimo,13,43.33,3095.24,30,24h
Oman,2025-W44,oman,12,40.0,3076.92,30,24h
Liberia,2025-W44,dawn,12,40.0,3076.92,30,7d
Guinea,2025-W44,guin,11,36.67,3055.56,30,24h
Benin,2025-W44,lerins,2,9.09,3030.3,22,24h
Uganda,2025-W44,uganda,7,24.14,3017.24,29,24h
Luxembourg,2025-W44,cran,19,63.33,3015.87,30,24h
Lebanon,2025-W44,tayyar,9,30.0,3000.0,30,24h
Russia,2025-W44,raised,9,30.0,3000.0,30,24h
Mozambique,2025-W44,cias,3,12.0,3000.0,25,7d
Barbados,2025-W44,nationnews,3,12.0,3000.0,25,24h
Argentina,2025-W44,pregon,8,26.67,2962.96,30,24h
Georgia,2025-W44,insidehook,1,5.88,2941.18,17,24h
Namibia,2025-W44,namibia,7,23.33,2916.67,30,24h
Paraguay,2025-W44,paraguay,7,23.33,2916.67,30,24h
Guatemala,2025-W44,guatemala,7,23.33,2916.67,30,24h
Jordan,2025-W44,nike,7,23.33,2916.67,30,24h
Finland,2025-W44,puukotushy,6,20.0,2857.14,30,24h
Nigeria,2025-W44,newspaper,6,20.0,2857.14,30,24h
Afghanistan,2025-W44,afghanistan,6,20.0,2857.14,30,24h
Cuba,2025-W44,alejandro,6,20.0,2857.14,30,24h
Mexico,2025-W44,hermosillo,6,20.0,2857.14,30,24h
El Salvador,2025-W44,ndote,5,16.67,2777.78,30,24h
Canada,2025-W44,toronto,5,16.67,2777.78,30,24h
Albania,2025-W44,vrasja,5,16.67,2777.78,30,24h
Andorra,2025-W44,flora,2,8.33,2777.78,24,24h
Austria,2025-W44,express,5,16.67,2777.78,30,24h
Moldova,2025-W44,moldova,5,16.67,2777.78,30,24h
Turkey,2025-W44,haberleri,5,16.67,2777.78,30,24h
Suriname,2025-W44,ware,2,8.33,2777.78,24,24h
Trinidad and Tobago,2025-W44,barataria,2,8.33,2777.78,24,24h
Thailand,2025-W44,bangkok,5,16.67,2777.78,30,24h
Slovenia,2025-W44,preberi,5,16.67,2777.78,30,24h
Singapore,2025-W44,murasu,5,16.67,2777.78,30,24h
Romania,2025-W44,noiembrie,4,13.33,2666.67,30,24h
Lithuania,2025-W44,lapkri,4,13.33,2666.67,30,24h
Netherlands,2025-W44,nieuws,4,13.33,2666.67,30,24h
New Zealand,2025-W44,wellington,4,13.33,2666.67,30,24h
Iceland,2025-W44,segir,4,13.33,2666.67,30,24h
Kenya,2025-W44,ruto,4,13.33,2666.67,30,24h
Uruguay,2025-W44,diaria,4,13.33,2666.67,30,24h
Kosovo,2025-W44,lajmet,4,13.33,2666.67,30,24h
Malta,2025-W44,malta,4,13.33,2666.67,30,24h
Australia,2025-W44,ambos,4,13.33,2666.67,30,24h
Armenia,2025-W44,nien,4,13.33,2666.67,30,24h
Belgium,2025-W44,verschillende,4,13.33,2666.67,30,24h
Democratic Republic of the Congo,2025-W44,partis,4,13.33,2666.67,30,24h
Denmark,2025-W44,nordjyske,4,13.33,2666.67,30,24h
France,2025-W44,histoire,4,13.33,2666.67,30,24h
Estonia,2025-W44,vastu,4,13.33,2666.67,30,24h
Serbia,2025-W44,peva,4,13.33,2666.67,30,24h
Sri Lanka,2025-W44,lankadeepa,4,13.33,2666.67,30,24h
Portugal,2025-W44,observador,4,13.33,2666.67,30,24h
Peru,2025-W44,atmp,4,13.33,2666.67,30,24h
Pakistan,2025-W44,makers,4,13.33,2666.67,30,24h
Panama,2025-W44,panam,7,23.33,2592.59,30,24h
Philippines,2025-W44,tino,3,10.34,2586.21,29,24h
Bosnia and Herzegovina,2025-W44,koje,3,10.0,2500.0,30,24h
Dominican Republic,2025-W44,leonel,3,10.0,2500.0,30,24h
Vietnam,2025-W44,ninh,3,10.0,2500.0,30,24h
Botswana,2025-W44,mmegi,3,10.0,2500.0,30,7d
United Kingdom,2025-W44,oxfordshire,3,10.0,2500.0,30,24h
Zimbabwe,2025-W44,licences,3,10.0,2500.0,30,24h
Germany,2025-W44,glichen,3,10.0,2500.0,30,24h
Iraq,2025-W44,christians,3,10.0,2500.0,30,24h
South Korea,2025-W44,zdnet,3,10.0,2500.0,30,24h
Indonesia,2025-W44,jadi,3,10.0,2500.0,30,24h
Jamaica,2025-W44,jamaican,3,10.0,2500.0,30,24h
Croatia,2025-W44,energenata,3,10.0,2500.0,30,24h
Colombia,2025-W44,cali,3,10.0,2500.0,30,24h
Algeria,2025-W44,tebboune,3,10.0,2500.0,30,24h
Brazil,2025-W44,universal,3,10.0,2500.0,30,24h
Belarus,2025-W44,crimea,3,10.0,2500.0,30,24h
Poland,2025-W44,pracy,3,10.0,2500.0,30,24h
Sweden,2025-W44,barometern,3,10.0,2500.0,30,24h
Ireland,2025-W44,carlow,3,10.0,2500.0,30,24h
Honduras,2025-W44,proceso,3,10.0,2500.0,30,24h
Italy,2025-W44,delle,3,10.0,2500.0,30,24h
Mauritania,2025-W44,mauritanie,3,10.0,2500.0,30,24h
Tajikistan,2025-W44,tomahawk,1,12.5,2500.0,8,24h
Tunisia,2025-W44,magazine,2,7.41,2469.14,27,24h
Turkmenistan,2025-W44,turkmenistan,5,16.67,2380.95,30,7d
Ecuador,2025-W44,ecuador,5,16.67,2380.95,30,24h
South Africa,2025-W44,results,2,6.9,2298.85,29,24h
Azerbaijan,2025-W44,azerbaijan,2,6.67,2222.22,30,24h
Kyrgyzstan,2025-W44,kyrgyzstan,2,6.67,2222.22,30,24h
Hungary,2025-W44,esem,2,6.67,2222.22,30,24h
Bolivia,2025-W44,citas,2,6.67,2222.22,30,24h
Cambodia,2025-W44,keeps,2,6.67,2222.22,30,24h
