country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Eritrea,2025-W43,fabrications,1,100.0,50000.0,1,24h
Burundi,2025-W43,burundi,1,100.0,50000.0,1,24h
Tonga,2025-W43,netball,1,100.0,50000.0,1,24h
Solomon Islands,2025-W43,satona,1,100.0,50000.0,1,24h
Zambia,2025-W43,mbula,1,100.0,50000.0,1,24h
Eswatini,2025-W43,ztcs,1,100.0,50000.0,1,7d
Turkmenistan,2025-W43,formats,1,100.0,50000.0,1,24h
Dominica,2025-W43,consultancy,1,100.0,50000.0,1,7d
Samoa,2025-W43,caused,1,100.0,50000.0,1,24h
Laos,2025-W43,trieste,2,100.0,33333.33,2,7d
Liberia,2025-W43,network,1,50.0,25000.0,2,24h
Nicaragua,2025-W43,provoca,1,50.0,25000.0,2,24h
Saint Vincent and the Grenadines,2025-W43,svgthe,1,50.0,25000.0,2,24h
Sao Tome and Principe,2025-W43,armadas,1,50.0,25000.0,2,24h
Republic of the Congo,2025-W43,congo,2,66.67,22222.22,3,24h
Chad,2025-W43,coop,2,66.67,22222.22,3,24h
Djibouti,2025-W43,command,2,66.67,22222.22,3,7d
Central African Republic,2025-W43,soutenir,1,33.33,16666.67,3,7d
South Sudan,2025-W43,contenus,1,33.33,16666.67,3,24h
Maldives,2025-W43,gayoom,1,33.33,16666.67,3,24h
Angola,2025-W43,quadros,2,50.0,16666.67,4,24h
Liechtenstein,2025-W43,wirtschaftsstandort,1,33.33,16666.67,3,7d
Cabo Verde,2025-W43,independente,4,80.0,16000.0,5,24h
Saint Lucia,2025-W43,orce,6,100.0,14285.71,6,24h
Monaco,2025-W43,monaco,3,50.0,12500.0,6,24h
San Marino,2025-W43,liberi,1,25.0,12500.0,4,24h
Botswana,2025-W43,mukokomani,1,25.0,12500.0,4,24h
Gabon,2025-W43,collier,2,33.33,11111.11,6,24h
Benin,2025-W43,cotonou,2,25.0,8333.33,8,24h
Ethiopia,2025-W43,outage,1,16.67,8333.33,6,24h
Mozambique,2025-W43,angolana,1,16.67,8333.33,6,24h
Grenada,2025-W43,grenada,3,30.0,7500.0,10,7d
Rwanda,2025-W43,rwanda,3,30.0,7500.0,10,24h
North Korea,2025-W43,gpus,1,14.29,7142.86,7,24h
Gambia,2025-W43,gambia,3,27.27,6818.18,11,24h
Tanzania,2025-W43,reports,8,80.0,6666.67,10,24h
Uzbekistan,2025-W43,microsoft,1,12.5,6250.0,8,24h
Lesotho,2025-W43,ophthalmologist,1,11.11,5555.56,9,7d
Somalia,2025-W43,jowhar,6,35.29,5042.02,17,24h
Papua New Guinea,2025-W43,forced,1,10.0,5000.0,10,24h
Fiji,2025-W43,fiji,3,20.0,5000.0,15,24h
Brunei,2025-W43,brunei,19,100.0,5000.0,19,30d
Antigua and Barbuda,2025-W43,indlandsisen,1,9.09,4545.45,11,24h
