country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Eritrea,2025-W43,isaias,1,100.0,50000.0,1,24h
Republic of the Congo,2025-W43,panique,1,100.0,50000.0,1,24h
Solomon Islands,2025-W43,warned,1,100.0,50000.0,1,24h
Ethiopia,2025-W43,workshop,1,100.0,50000.0,1,24h
Zambia,2025-W43,zambia,1,100.0,50000.0,1,24h
Saint Lucia,2025-W43,orce,2,100.0,33333.33,2,24h
Belize,2025-W43,capacity,1,50.0,25000.0,2,24h
Burundi,2025-W43,couple,1,50.0,25000.0,2,24h
Chad,2025-W43,tchad,2,66.67,22222.22,3,7d
Turkmenistan,2025-W43,turkmenistan,2,66.67,22222.22,3,24h
Mongolia,2025-W43,waschke,1,33.33,16666.67,3,24h
Djibouti,2025-W43,ministerial,2,50.0,16666.67,4,7d
Fiji,2025-W43,safer,2,50.0,16666.67,4,24h
Dominica,2025-W43,dominica,3,75.0,15000.0,4,30d
Liechtenstein,2025-W43,streiten,1,25.0,12500.0,4,7d
Eswatini,2025-W43,eswatini,2,33.33,11111.11,6,30d
Samoa,2025-W43,samoa,6,75.0,10714.29,8,24h
Monaco,2025-W43,lucca,4,50.0,10000.0,8,24h
Saint Kitts and Nevis,2025-W43,sknvibes,9,100.0,10000.0,9,7d
Mozambique,2025-W43,encontra,1,20.0,10000.0,5,24h
Bahamas,2025-W43,saunder,1,20.0,10000.0,5,24h
Angola,2025-W43,faixa,1,20.0,10000.0,5,24h
Maldives,2025-W43,maldives,6,66.67,9523.81,9,24h
South Sudan,2025-W43,unmiss,2,28.57,9523.81,7,24h
Laos,2025-W43,vientiane,6,75.0,9375.0,8,7d
Rwanda,2025-W43,rwanda,2,33.33,8333.33,6,24h
Sao Tome and Principe,2025-W43,investimento,2,25.0,8333.33,8,7d
Nicaragua,2025-W43,cono,1,16.67,8333.33,6,24h
Bahrain,2025-W43,bibf,1,16.67,8333.33,6,24h
Papua New Guinea,2025-W43,courier,2,22.22,7407.41,9,24h
Haiti,2025-W43,haitilibre,4,36.36,7272.73,11,24h
Grenada,2025-W43,consent,1,14.29,7142.86,7,7d
Antigua and Barbuda,2025-W43,uddannelseskaravane,1,14.29,7142.86,7,24h
Central African Republic,2025-W43,altercation,1,14.29,7142.86,7,7d
Barbados,2025-W43,broadcasting,5,38.46,6410.26,13,24h
San Marino,2025-W43,marino,2,18.18,6060.61,11,24h
Lesotho,2025-W43,lesotho,7,53.85,5982.91,13,7d
Cabo Verde,2025-W43,independente,4,28.57,5714.29,14,7d
Niger,2025-W43,actuniger,2,16.67,5555.56,12,24h
Botswana,2025-W43,botswana,5,33.33,5555.56,15,7d
Cote d'Ivoire,2025-W43,interdit,2,16.67,5555.56,12,24h
Burkina Faso,2025-W43,faso,8,53.33,5333.33,15,24h
Uganda,2025-W43,museveni,5,31.25,5208.33,16,24h
El Salvador,2025-W43,pandilleros,2,15.38,5128.21,13,24h
North Korea,2025-W43,wasting,1,10.0,5000.0,10,24h
Tonga,2025-W43,bids,3,20.0,5000.0,15,7d
Gabon,2025-W43,professeur,4,22.22,4444.44,18,24h
Benin,2025-W43,tribune,4,25.0,4166.67,16,24h
Togo,2025-W43,simpose,1,7.69,3846.15,13,24h
Guinea,2025-W43,guinee,7,30.43,3804.35,23,24h
Sierra Leone,2025-W43,leone,2,11.11,3703.7,18,24h
Georgia,2025-W43,tbilisi,3,14.29,3571.43,21,24h
Brunei,2025-W43,brunei,30,100.0,3225.81,30,30d
Liberia,2025-W43,liberia,23,76.67,3194.44,30,7d
Sri Lanka,2025-W43,lanka,18,60.0,3157.89,30,24h
Romania,2025-W43,bolojan,16,53.33,3137.25,30,24h
Mali,2025-W43,malijet,16,53.33,3137.25,30,24h
Jamaica,2025-W43,eyeonmelissa,15,50.0,3125.0,30,24h
Montenegro,2025-W43,gore,14,46.67,3111.11,30,24h
Tunisia,2025-W43,tunisie,14,46.67,3111.11,30,24h
Czechia,2025-W43,tnbiz,14,46.67,3111.11,30,24h
Somalia,2025-W43,qaranimo,11,36.67,3055.56,30,24h
Costa Rica,2025-W43,monumental,11,36.67,3055.56,30,24h
Malawi,2025-W43,malawi,11,36.67,3055.56,30,24h
Venezuela,2025-W43,ciudadccs,10,33.33,3030.3,30,24h
Oman,2025-W43,oman,10,33.33,3030.3,30,24h
Luxembourg,2025-W43,cran,10,33.33,3030.3,30,24h
Hungary,2025-W43,index,9,30.0,3000.0,30,24h
Armenia,2025-W43,lurer,9,30.0,3000.0,30,24h
Zimbabwe,2025-W43,dailynews,8,26.67,2962.96,30,24h
Qatar,2025-W43,qatar,8,26.67,2962.96,30,24h
Turkey,2025-W43,ekim,8,26.67,2962.96,30,24h
Cuba,2025-W43,cubadebate,8,26.67,2962.96,30,24h
Trinidad and Tobago,2025-W43,newsday,8,26.67,2962.96,30,24h
Gambia,2025-W43,gambia,7,23.33,2916.67,30,7d
Kyrgyzstan,2025-W43,turmush,7,23.33,2916.67,30,24h
Vietnam,2025-W43,trong,7,23.33,2916.67,30,24h
Ecuador,2025-W43,guayaquil,6,20.0,2857.14,30,24h
Brazil,2025-W43,midianews,6,20.0,2857.14,30,24h
Afghanistan,2025-W43,diplomat,6,20.0,2857.14,30,24h
Croatia,2025-W43,slobodna,6,20.0,2857.14,30,24h
United Kingdom,2025-W43,aggravated,6,20.0,2857.14,30,24h
Lithuania,2025-W43,neribotam,6,20.0,2857.14,30,24h
Uruguay,2025-W43,diaria,6,20.0,2857.14,30,24h
Senegal,2025-W43,seneweb,6,20.0,2857.14,30,24h
Sweden,2025-W43,till,6,20.0,2857.14,30,24h
Slovenia,2025-W43,golob,6,20.0,2857.14,30,24h
Colombia,2025-W43,hist,5,16.67,2777.78,30,24h
Mauritius,2025-W43,maurice,5,16.67,2777.78,30,24h
New Zealand,2025-W43,sunlive,5,16.67,2777.78,30,24h
Philippines,2025-W43,insight,5,16.67,2777.78,30,24h
Namibia,2025-W43,monitoring,1,5.56,2777.78,18,24h
Suriname,2025-W43,overleden,5,16.67,2777.78,30,24h
India,2025-W43,florida,5,16.67,2777.78,30,24h
Finland,2025-W43,telian,5,16.67,2777.78,30,24h
Italy,2025-W43,lazio,5,16.67,2777.78,30,24h
Algeria,2025-W43,archives,5,16.67,2777.78,30,24h
Dominican Republic,2025-W43,niveles,5,16.67,2777.78,30,24h
Cameroon,2025-W43,tchiroma,5,16.67,2777.78,30,24h
Bulgaria,2025-W43,ekipnews,4,13.33,2666.67,30,24h
Belarus,2025-W43,said,4,13.33,2666.67,30,24h
Austria,2025-W43,leadersnet,4,13.33,2666.67,30,24h
Albania,2025-W43,tiran,4,13.33,2666.67,30,24h
Malta,2025-W43,malta,4,13.33,2666.67,30,24h
Poland,2025-W43,warsaw,4,13.33,2666.67,30,24h
Guyana,2025-W43,stabroek,4,13.33,2666.67,30,24h
Ireland,2025-W43,homepage,4,13.33,2666.67,30,24h
Latvia,2025-W43,krievijas,4,13.33,2666.67,30,24h
Nepal,2025-W43,nepal,8,26.67,2666.67,30,24h
Vanuatu,2025-W43,page,4,13.33,2666.67,30,7d
Switzerland,2025-W43,schweiz,4,13.33,2666.67,30,24h
Myanmar,2025-W43,myanmar,4,16.0,2666.67,25,24h
Norway,2025-W43,grandiosa,4,13.33,2666.67,30,24h
Paraguay,2025-W43,naci,4,13.33,2666.67,30,24h
Portugal,2025-W43,barcelos,4,13.33,2666.67,30,24h
Malaysia,2025-W43,terkini,4,13.33,2666.67,30,24h
Tanzania,2025-W43,mwinyi,3,10.34,2586.21,29,24h
Serbia,2025-W43,putevima,3,10.0,2500.0,30,24h
Seychelles,2025-W43,seychelles,15,50.0,2500.0,30,7d
Spain,2025-W43,valladolid,3,10.0,2500.0,30,24h
Netherlands,2025-W43,steun,3,10.0,2500.0,30,24h
Morocco,2025-W43,casablanca,3,10.0,2500.0,30,24h
Germany,2025-W43,nachrichten,3,10.0,2500.0,30,24h
Chile,2025-W43,chile,3,10.0,2500.0,30,24h
Andorra,2025-W43,dandorra,3,10.0,2500.0,30,24h
Bolivia,2025-W43,lara,3,10.0,2500.0,30,24h
Belgium,2025-W43,verraders,3,10.0,2500.0,30,24h
Australia,2025-W43,irrigator,3,10.0,2500.0,30,24h
Ghana,2025-W43,college,3,10.0,2500.0,30,24h
Kenya,2025-W43,raila,3,10.0,2500.0,30,24h
Indonesia,2025-W43,jalan,3,10.0,2500.0,30,24h
Kosovo,2025-W43,marr,3,10.0,2500.0,30,24h
