country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Chad,2025-W43,bonus,1,100.0,50000.0,1,24h
Central African Republic,2025-W43,appui,1,100.0,50000.0,1,24h
Ethiopia,2025-W43,geneva,1,100.0,50000.0,1,24h
Djibouti,2025-W43,igad,1,100.0,50000.0,1,24h
Eswatini,2025-W43,seal,1,100.0,50000.0,1,24h
Vanuatu,2025-W43,lonsdale,1,100.0,50000.0,1,24h
Rwanda,2025-W43,therwandan,1,100.0,50000.0,1,24h
Dominica,2025-W43,consultancy,1,100.0,50000.0,1,7d
Liechtenstein,2025-W43,wirtschaftsstandort,1,100.0,50000.0,1,24h
Eritrea,2025-W43,abdel,1,100.0,50000.0,1,24h
Saint Lucia,2025-W43,lucia,1,100.0,33333.33,1,24h
Laos,2025-W43,trieste,2,100.0,33333.33,2,7d
Burundi,2025-W43,burundi,5,83.33,13888.89,6,24h
Mozambique,2025-W43,renova,1,25.0,12500.0,4,24h
Monaco,2025-W43,comics,1,25.0,12500.0,4,24h
Sao Tome and Principe,2025-W43,plataforma,1,25.0,12500.0,4,24h
Angola,2025-W43,angola,3,42.86,10714.29,7,24h
Solomon Islands,2025-W43,solomon,6,85.71,10714.29,7,24h
Sierra Leone,2025-W43,julius,1,20.0,10000.0,5,24h
Cabo Verde,2025-W43,horizonte,1,20.0,10000.0,5,24h
Grenada,2025-W43,kickoff,1,20.0,10000.0,5,24h
Maldives,2025-W43,roundup,1,20.0,10000.0,5,24h
Nicaragua,2025-W43,superhurac,2,28.57,9523.81,7,24h
San Marino,2025-W43,marino,3,33.33,8333.33,9,24h
Tonga,2025-W43,bids,1,16.67,8333.33,6,24h
Samoa,2025-W43,telecomdaily,1,16.67,8333.33,6,7d
Zambia,2025-W43,sensitization,1,16.67,8333.33,6,24h
Republic of the Congo,2025-W43,adiac,7,63.64,7954.55,11,24h
Tanzania,2025-W43,retiring,3,27.27,6818.18,11,24h
Seychelles,2025-W43,findings,2,20.0,6666.67,10,24h
Antigua and Barbuda,2025-W43,points,1,12.5,6250.0,8,24h
Bahamas,2025-W43,reviews,6,42.86,6122.45,14,24h
Lesotho,2025-W43,lesotho,1,11.11,5555.56,9,7d
Turkmenistan,2025-W43,basis,1,11.11,5555.56,9,24h
Gambia,2025-W43,jammeh,2,16.67,5555.56,12,24h
Togo,2025-W43,togo,4,30.77,5128.21,13,24h
Montenegro,2025-W43,turske,3,18.75,4687.5,16,24h
Burkina Faso,2025-W43,faso,7,36.84,4605.26,19,24h
Guyana,2025-W43,guyana,4,21.05,4210.53,19,24h
Venezuela,2025-W43,ciudadccs,4,21.05,4210.53,19,24h
Haiti,2025-W43,haitian,4,21.05,4210.53,19,24h
North Korea,2025-W43,guided,1,8.33,4166.67,12,24h
Mongolia,2025-W43,cocaine,1,8.33,4166.67,12,24h
South Sudan,2025-W43,vacate,1,8.33,4166.67,12,24h
Saint Vincent and the Grenadines,2025-W43,physical,1,8.33,4166.67,12,24h
Somalia,2025-W43,qaranimo,9,37.5,3750.0,24,24h
Senegal,2025-W43,mouna,3,15.0,3750.0,20,24h
Costa Rica,2025-W43,chaves,2,11.11,3703.7,18,24h
Cote d'Ivoire,2025-W43,divoire,4,22.22,3703.7,18,24h
Liberia,2025-W43,boakai,3,14.29,3571.43,21,24h
Barbados,2025-W43,barbados,5,20.0,3333.33,25,24h
Austria,2025-W43,aktuelle,3,13.04,3260.87,23,24h
Brunei,2025-W43,brunei,30,100.0,3225.81,30,30d
Nigeria,2025-W43,thisdaylive,16,53.33,3137.25,30,24h
Benin,2025-W43,africains,1,6.25,3125.0,16,24h
Oman,2025-W43,oman,7,28.0,3111.11,25,24h
Armenia,2025-W43,aztag,12,40.0,3076.92,30,24h
Belize,2025-W43,belize,24,80.0,3076.92,30,24h
Panama,2025-W43,panam,12,40.0,3076.92,30,24h
Slovakia,2025-W43,hnonline,11,36.67,3055.56,30,24h
Mali,2025-W43,langues,9,30.0,3000.0,30,24h
Iceland,2025-W43,innskr,8,26.67,2962.96,30,24h
Gabon,2025-W43,warren,8,26.67,2962.96,30,24h
Sri Lanka,2025-W43,lankadeepa,8,26.67,2962.96,30,24h
Georgia,2025-W43,georgia,8,26.67,2962.96,30,24h
Ghana,2025-W43,ghanaian,8,26.67,2962.96,30,24h
Malta,2025-W43,malta,8,26.67,2962.96,30,24h
Guinea,2025-W43,guinea,7,23.33,2916.67,30,24h
Namibia,2025-W43,namibia,7,23.33,2916.67,30,24h
Ireland,2025-W43,ireland,7,23.33,2916.67,30,24h
Zimbabwe,2025-W43,zimbabwe,13,43.33,2888.89,30,24h
Botswana,2025-W43,mmegi,3,11.54,2884.62,26,7d
Fiji,2025-W43,fiji,5,17.24,2873.56,29,24h
Albania,2025-W43,rtsh,6,20.0,2857.14,30,24h
Cuba,2025-W43,cuban,6,20.0,2857.14,30,24h
Estonia,2025-W43,vooremaa,6,20.0,2857.14,30,24h
Finland,2025-W43,jatkaa,6,20.0,2857.14,30,24h
Brazil,2025-W43,veja,5,16.67,2777.78,30,24h
Peru,2025-W43,lima,5,16.67,2777.78,30,24h
Democratic Republic of the Congo,2025-W43,lacs,5,16.67,2777.78,30,24h
Portugal,2025-W43,observador,5,16.67,2777.78,30,24h
Niger,2025-W43,sahel,10,33.33,2777.78,30,24h
Nepal,2025-W43,hour,5,16.67,2777.78,30,24h
