country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Egypt,2025-W43,elevate,1,3.33,1666.67,30,24h
Bangladesh,2025-W43,estate,1,3.33,1666.67,30,24h
Russia,2025-W43,telegram,1,3.33,1666.67,30,24h
North Macedonia,2025-W43,rvenic,1,3.33,1666.67,30,24h
Morocco,2025-W43,morris,1,3.33,1666.67,30,24h
Kyrgyzstan,2025-W43,bilol,1,3.33,1666.67,30,24h
Iran,2025-W43,interests,1,3.33,1666.67,30,24h
Jordan,2025-W43,eurowings,1,3.33,1666.67,30,24h
Kazakhstan,2025-W43,astana,1,3.33,1666.67,30,24h
Mongolia,2025-W43,presented,1,3.33,1666.67,30,7d
