country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles
Germany,2025-W43,austria,3,15.0,213.8,20
France,2025-W43,mbapp,2,4.65,99.44,43
United Kingdom,2025-W43,london,5,10.0,85.52,50
