country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Burundi,2025-W44,fices,1,100.0,50000.0,1,24h
Sao Tome and Principe,2025-W44,alemanha,1,100.0,50000.0,1,24h
Nicaragua,2025-W44,intercontinental,1,100.0,50000.0,1,24h
Liechtenstein,2025-W44,leitung,1,100.0,50000.0,1,24h
Gambia,2025-W44,soldier,1,100.0,50000.0,1,24h
Central African Republic,2025-W44,appui,1,100.0,50000.0,1,7d
Eswatini,2025-W44,ewade,1,100.0,50000.0,1,7d
Laos,2025-W44,fiction,2,100.0,33333.33,2,7d
Tonga,2025-W44,kiwis,1,50.0,25000.0,2,24h
Cabo Verde,2025-W44,roque,1,33.33,16666.67,3,24h
Djibouti,2025-W44,guelleh,2,50.0,16666.67,4,7d
Dominica,2025-W44,consultancy,1,33.33,16666.67,3,30d
Maldives,2025-W44,apart,1,33.33,16666.67,3,24h
Mozambique,2025-W44,nampula,1,33.33,16666.67,3,24h
Rwanda,2025-W44,rwanda,3,60.0,15000.0,5,24h
Seychelles,2025-W44,consistent,3,60.0,15000.0,5,24h
Republic of the Congo,2025-W44,congo,5,83.33,13888.89,6,24h
Monaco,2025-W44,monaco,2,40.0,13333.33,5,24h
Eritrea,2025-W44,isaias,2,40.0,13333.33,5,7d
Chad,2025-W44,tchadien,1,25.0,12500.0,4,7d
Sierra Leone,2025-W44,batter,1,25.0,12500.0,4,24h
Saint Vincent and the Grenadines,2025-W44,arthur,1,25.0,12500.0,4,24h
Zambia,2025-W44,sichone,1,25.0,12500.0,4,24h
Turkmenistan,2025-W44,turkmenistan,5,71.43,11904.76,7,24h
San Marino,2025-W44,marino,3,42.86,10714.29,7,24h
Angola,2025-W44,monitor,3,42.86,10714.29,7,24h
Somalia,2025-W44,jowhar,5,55.56,9259.26,9,24h
North Korea,2025-W44,north,3,42.86,8571.43,7,24h
Grenada,2025-W44,grenada,2,25.0,8333.33,8,24h
Bahamas,2025-W44,islands,1,16.67,8333.33,6,24h
Tanzania,2025-W44,hapa,2,25.0,8333.33,8,24h
Guyana,2025-W44,mayoral,1,16.67,8333.33,6,24h
Antigua and Barbuda,2025-W44,hjem,1,16.67,8333.33,6,24h
Ethiopia,2025-W44,abiy,3,30.0,7500.0,10,24h
Gabon,2025-W44,natoriales,2,22.22,7407.41,9,24h
Lesotho,2025-W44,matekane,2,22.22,7407.41,9,7d
Solomon Islands,2025-W44,solomon,7,58.33,7291.67,12,24h
Burkina Faso,2025-W44,remerciements,4,33.33,6666.67,12,24h
Saint Lucia,2025-W44,voice,4,30.77,6153.85,13,24h
Brunei,2025-W44,brunei,16,100.0,5882.35,16,7d
Botswana,2025-W44,mmegi,3,23.08,5769.23,13,24h
Togo,2025-W44,togo,3,23.08,5769.23,13,24h
Costa Rica,2025-W44,costa,5,33.33,5555.56,15,24h
South Sudan,2025-W44,strips,1,11.11,5555.56,9,24h
Cote d'Ivoire,2025-W44,vague,1,11.11,5555.56,9,24h
Montenegro,2025-W44,demokrate,2,16.67,5555.56,12,24h
Haiti,2025-W44,louragan,2,16.67,5555.56,12,24h
Myanmar,2025-W44,yangon,1,10.0,5000.0,10,24h
Namibia,2025-W44,republikein,7,38.89,4861.11,18,24h
Belize,2025-W44,belize,13,59.09,4220.78,22,24h
Barbados,2025-W44,shooting,3,16.67,4166.67,18,24h
Malta,2025-W44,borg,2,12.5,4166.67,16,24h
Georgia,2025-W44,georgia,6,28.57,4081.63,21,24h
Oman,2025-W44,spain,3,15.0,3750.0,20,24h
Suriname,2025-W44,suriname,4,18.18,3636.36,22,24h
Malawi,2025-W44,malawi,11,40.74,3395.06,27,24h
Tunisia,2025-W44,alit,4,16.67,3333.33,24,24h
Andorra,2025-W44,dandorra,4,16.67,3333.33,24,24h
Democratic Republic of the Congo,2025-W44,kivu,2,10.0,3333.33,20,24h
Senegal,2025-W44,cong,4,16.0,3200.0,25,24h
Liberia,2025-W44,dawn,15,50.0,3125.0,30,24h
Vanuatu,2025-W44,playtime,1,6.25,3125.0,16,7d
Switzerland,2025-W44,agenda,14,50.0,3125.0,28,24h
Paraguay,2025-W44,naci,10,33.33,3030.3,30,24h
Philippines,2025-W44,businessworld,9,30.0,3000.0,30,24h
Luxembourg,2025-W44,cran,9,30.0,3000.0,30,24h
Bulgaria,2025-W44,novinite,9,30.0,3000.0,30,24h
Mauritania,2025-W44,ghazouani,3,12.0,3000.0,25,24h
Uruguay,2025-W44,muro,8,26.67,2962.96,30,24h
El Salvador,2025-W44,credibilidad,4,14.81,2962.96,27,24h
Slovakia,2025-W44,hnonline,8,26.67,2962.96,30,24h
Czechia,2025-W44,politika,8,26.67,2962.96,30,24h
Albania,2025-W44,spak,8,26.67,2962.96,30,24h
Niger,2025-W44,sahel,7,23.33,2916.67,30,24h
Cambodia,2025-W44,kampuchea,7,23.33,2916.67,30,24h
Zimbabwe,2025-W44,zimbabwe,7,23.33,2916.67,30,24h
Croatia,2025-W44,dnevni,6,20.0,2857.14,30,24h
Guinea,2025-W44,guin,12,40.0,2857.14,30,24h
Kyrgyzstan,2025-W44,tazabek,6,20.0,2857.14,30,24h
Ecuador,2025-W44,feriado,6,20.0,2857.14,30,24h
Cyprus,2025-W44,ndem,6,20.0,2857.14,30,24h
Argentina,2025-W44,neuqu,5,16.67,2777.78,30,24h
Armenia,2025-W44,lurer,5,16.67,2777.78,30,24h
Austria,2025-W44,beliebtheitsrangliste,2,8.33,2777.78,24,24h
Australia,2025-W44,register,5,16.67,2777.78,30,24h
United Kingdom,2025-W44,gordon,5,16.67,2777.78,30,24h
Netherlands,2025-W44,dutch,5,16.67,2777.78,30,24h
Slovenia,2025-W44,zaradi,5,16.67,2777.78,30,24h
Lithuania,2025-W44,rusijai,5,16.67,2777.78,30,24h
Romania,2025-W44,exclusiv,5,16.67,2777.78,30,24h
Trinidad and Tobago,2025-W44,extra,3,10.71,2678.57,28,24h
Moldova,2025-W44,guvernul,4,13.33,2666.67,30,24h
Finland,2025-W44,alueella,4,13.33,2666.67,30,24h
Qatar,2025-W44,iloveqatar,4,13.33,2666.67,30,24h
Colombia,2025-W44,excelsio,4,13.33,2666.67,30,24h
Benin,2025-W44,cristiano,2,8.0,2666.67,25,24h
Guatemala,2025-W44,roosevelt,4,13.33,2666.67,30,24h
Hungary,2025-W44,nagy,4,13.33,2666.67,30,24h
Fiji,2025-W44,bias,2,8.0,2666.67,25,24h
India,2025-W44,hubballi,4,13.33,2666.67,30,24h
Norway,2025-W44,etter,4,13.33,2666.67,30,24h
Afghanistan,2025-W44,afghanistan,7,23.33,2592.59,30,24h
South Africa,2025-W44,vodacom,3,10.34,2586.21,29,24h
Brazil,2025-W44,bernardo,3,10.0,2500.0,30,24h
Chile,2025-W44,vivanco,3,10.0,2500.0,30,24h
Denmark,2025-W44,svenske,3,10.0,2500.0,30,24h
Bosnia and Herzegovina,2025-W44,alosti,3,10.0,2500.0,30,24h
Algeria,2025-W44,sayoud,3,10.0,2500.0,30,24h
Belgium,2025-W44,tegen,3,10.0,2500.0,30,24h
Vietnam,2025-W44,trung,3,10.0,2500.0,30,24h
Turkey,2025-W44,bakan,3,10.0,2500.0,30,24h
Spain,2025-W44,perplexity,3,10.0,2500.0,30,24h
Latvia,2025-W44,vair,3,10.0,2500.0,30,24h
Kuwait,2025-W44,kuna,3,10.0,2500.0,30,24h
Iceland,2025-W44,fram,3,10.0,2500.0,30,24h
Indonesia,2025-W44,hari,3,10.0,2500.0,30,24h
France,2025-W44,colloques,3,10.0,2500.0,30,24h
Cameroon,2025-W44,mortes,3,10.0,2500.0,30,24h
Canada,2025-W44,alberta,3,10.0,2500.0,30,24h
