country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Cabo Verde,2025-W44,reading,1,100.0,50000.0,1,24h
Dominica,2025-W44,gosl,1,100.0,50000.0,1,7d
Maldives,2025-W44,optimism,1,100.0,50000.0,1,24h
Laos,2025-W44,vincitori,1,100.0,50000.0,1,24h
Eswatini,2025-W44,ztcs,1,100.0,50000.0,1,7d
Bahamas,2025-W44,citizen,1,50.0,25000.0,2,24h
Belize,2025-W44,domestic,1,50.0,25000.0,2,24h
Botswana,2025-W44,guided,1,50.0,25000.0,2,24h
Rwanda,2025-W44,reviewed,1,50.0,25000.0,2,24h
Liechtenstein,2025-W44,hrlich,1,50.0,25000.0,2,24h
Saint Lucia,2025-W44,complex,1,50.0,25000.0,2,24h
San Marino,2025-W44,attiva,1,50.0,25000.0,2,24h
Gabon,2025-W44,cole,1,50.0,25000.0,2,24h
Uzbekistan,2025-W44,numbeo,1,50.0,25000.0,2,24h
Monaco,2025-W44,lucca,2,66.67,22222.22,3,24h
Burundi,2025-W44,arib,5,100.0,16666.67,5,24h
Djibouti,2025-W44,guelleh,2,50.0,16666.67,4,7d
Central African Republic,2025-W44,soutenir,1,33.33,16666.67,3,7d
Lesotho,2025-W44,matekane,2,50.0,16666.67,4,24h
Haiti,2025-W44,haiti,2,50.0,16666.67,4,24h
South Sudan,2025-W44,delays,1,33.33,16666.67,3,24h
Sao Tome and Principe,2025-W44,tortura,1,33.33,16666.67,3,24h
Republic of the Congo,2025-W44,congo,2,50.0,16666.67,4,24h
Turkmenistan,2025-W44,ciet,3,60.0,15000.0,5,24h
Cote d'Ivoire,2025-W44,ouattara,2,40.0,13333.33,5,24h
Mozambique,2025-W44,decidem,1,25.0,12500.0,4,24h
Samoa,2025-W44,billions,1,25.0,12500.0,4,7d
Tanzania,2025-W44,promote,1,25.0,12500.0,4,24h
Solomon Islands,2025-W44,solomon,4,57.14,11428.57,7,24h
Brunei,2025-W44,brunei,8,100.0,11111.11,8,30d
Angola,2025-W44,rendido,1,20.0,10000.0,5,24h
Mongolia,2025-W44,florian,1,20.0,10000.0,5,24h
Togo,2025-W44,togo,3,37.5,9375.0,8,24h
Burkina Faso,2025-W44,faso,3,37.5,9375.0,8,24h
Barbados,2025-W44,cdema,1,16.67,8333.33,6,24h
Antigua and Barbuda,2025-W44,kvinder,1,16.67,8333.33,6,24h
North Korea,2025-W44,miyu,1,16.67,8333.33,6,24h
Papua New Guinea,2025-W44,fode,1,16.67,8333.33,6,24h
Ethiopia,2025-W44,newspaper,1,14.29,7142.86,7,24h
Sierra Leone,2025-W44,dependency,1,14.29,7142.86,7,24h
Eritrea,2025-W44,isaias,2,20.0,6666.67,10,7d
Grenada,2025-W44,grenada,3,25.0,6250.0,12,7d
Montenegro,2025-W44,komemorativnom,1,12.5,6250.0,8,24h
Tonga,2025-W44,netball,1,12.5,6250.0,8,7d
Chad,2025-W44,tchadien,2,18.18,6060.61,11,7d
Myanmar,2025-W44,myanmar,3,21.43,5357.14,14,24h
Niger,2025-W44,sahel,2,20.0,5000.0,10,24h
Austria,2025-W44,aberdeen,1,10.0,5000.0,10,24h
Mali,2025-W44,bassirou,1,10.0,5000.0,10,24h
Cambodia,2025-W44,jairam,1,9.09,4545.45,11,24h
Namibia,2025-W44,republikein,9,45.0,4500.0,20,24h
Fiji,2025-W44,khan,1,8.33,4166.67,12,24h
Uganda,2025-W44,uganda,4,20.0,4000.0,20,24h
Zambia,2025-W44,teveta,2,11.76,3921.57,17,7d
Democratic Republic of the Congo,2025-W44,politiques,2,11.76,3921.57,17,24h
Seychelles,2025-W44,herminie,4,19.05,3809.52,21,7d
Benin,2025-W44,populaire,2,10.53,3508.77,19,24h
Georgia,2025-W44,georgia,3,13.64,3409.09,22,24h
Costa Rica,2025-W44,costa,6,27.27,3409.09,22,24h
Suriname,2025-W44,tijd,3,13.04,3260.87,23,24h
Nicaragua,2025-W44,superhurac,5,19.23,3205.13,26,7d
El Salvador,2025-W44,latino,6,22.22,3174.6,27,24h
Guinea,2025-W44,guin,16,53.33,3137.25,30,24h
Thailand,2025-W44,bangkok,14,46.67,3111.11,30,24h
Liberia,2025-W44,dawn,12,40.0,3076.92,30,7d
Luxembourg,2025-W44,cran,19,63.33,3015.87,30,24h
Paraguay,2025-W44,naci,9,30.0,3000.0,30,24h
Somalia,2025-W44,jowhar,9,30.0,3000.0,30,24h
Czechia,2025-W44,parlamentnilisty,9,30.0,3000.0,30,24h
Nepal,2025-W44,hour,9,30.0,3000.0,30,24h
New Zealand,2025-W44,scoop,7,23.33,2916.67,30,24h
Finland,2025-W44,mainos,7,23.33,2916.67,30,24h
Philippines,2025-W44,biologics,2,8.7,2898.55,23,24h
Saint Vincent and the Grenadines,2025-W44,gonsalves,3,11.54,2884.62,26,7d
Armenia,2025-W44,lurer,6,20.0,2857.14,30,24h
Cameroon,2025-W44,cameroon,6,20.0,2857.14,30,24h
Ecuador,2025-W44,grafo,6,20.0,2857.14,30,24h
Kuwait,2025-W44,kuna,6,20.0,2857.14,30,24h
Guyana,2025-W44,stabroek,6,20.0,2857.14,30,24h
Malawi,2025-W44,mutharika,6,20.0,2857.14,30,24h
Italy,2025-W44,della,5,16.67,2777.78,30,24h
Kyrgyzstan,2025-W44,kyrgyzstan,3,11.11,2777.78,27,24h
Romania,2025-W44,opinia,5,16.67,2777.78,30,24h
United Kingdom,2025-W44,prostate,5,16.67,2777.78,30,24h
Sri Lanka,2025-W44,lankadeepa,5,16.67,2777.78,30,24h
Gambia,2025-W44,gambia,5,16.67,2777.78,30,7d
Lithuania,2025-W44,apie,5,16.67,2777.78,30,24h
Dominican Republic,2025-W44,abinader,5,16.67,2777.78,30,24h
Mauritania,2025-W44,mauritanie,4,13.79,2758.62,29,24h
Oman,2025-W44,oman,9,30.0,2727.27,30,24h
Argentina,2025-W44,santilli,9,30.0,2727.27,30,24h
Senegal,2025-W44,vall,3,10.71,2678.57,28,24h
Hungary,2025-W44,rban,4,13.33,2666.67,30,24h
Guatemala,2025-W44,guatemala,4,13.33,2666.67,30,24h
Jamaica,2025-W44,observer,4,13.33,2666.67,30,24h
Ireland,2025-W44,pictures,4,13.33,2666.67,30,24h
Serbia,2025-W44,severnoj,4,13.33,2666.67,30,24h
Iceland,2025-W44,tbolti,4,13.33,2666.67,30,24h
Estonia,2025-W44,galerii,2,8.0,2666.67,25,24h
Andorra,2025-W44,andorra,4,13.33,2666.67,30,24h
Bolivia,2025-W44,rodrigo,4,13.33,2666.67,30,24h
Ghana,2025-W44,karela,4,13.33,2666.67,30,24h
Turkey,2025-W44,asya,4,13.33,2666.67,30,24h
Vietnam,2025-W44,trong,4,13.33,2666.67,30,24h
Mexico,2025-W44,financiero,4,13.33,2666.67,30,24h
Latvia,2025-W44,stambulas,4,13.33,2666.67,30,24h
Portugal,2025-W44,esquerda,4,13.33,2666.67,30,24h
India,2025-W44,florida,4,13.33,2666.67,30,24h
Qatar,2025-W44,qatar,18,60.0,2608.7,30,24h
Australia,2025-W44,perth,3,10.0,2500.0,30,24h
Albania,2025-W44,maqedonin,3,10.0,2500.0,30,24h
Denmark,2025-W44,ngninger,3,10.0,2500.0,30,24h
Malaysia,2025-W44,ditembak,3,10.0,2500.0,30,24h
Germany,2025-W44,eine,3,10.0,2500.0,30,24h
Kenya,2025-W44,kenyan,3,10.0,2500.0,30,24h
