country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Liechtenstein,2025-W43,frommelt,1,100.0,50000.0,1,24h
Grenada,2025-W43,stakeholders,1,100.0,50000.0,1,24h
Tonga,2025-W43,destruction,1,100.0,50000.0,1,24h
Djibouti,2025-W43,command,2,100.0,33333.33,2,24h
Cabo Verde,2025-W43,cleaning,1,50.0,25000.0,2,24h
Burundi,2025-W43,burundi,3,100.0,25000.0,3,24h
Maldives,2025-W43,pension,1,50.0,25000.0,2,24h
Mozambique,2025-W43,escola,1,50.0,25000.0,2,24h
Vanuatu,2025-W43,credits,1,50.0,25000.0,2,24h
Samoa,2025-W43,savaii,1,50.0,25000.0,2,24h
Ethiopia,2025-W43,hmong,1,50.0,25000.0,2,24h
Rwanda,2025-W43,rwanda,2,66.67,22222.22,3,24h
Saint Lucia,2025-W43,lucia,3,100.0,20000.0,3,24h
Dominica,2025-W43,dominica,3,75.0,18750.0,4,30d
Zambia,2025-W43,hichilema,2,50.0,16666.67,4,24h
Chad,2025-W43,ndolenodji,1,33.33,16666.67,3,7d
Eritrea,2025-W43,capacity,1,33.33,16666.67,3,24h
Eswatini,2025-W43,salary,2,40.0,13333.33,5,30d
Turkmenistan,2025-W43,turkmenistan,4,66.67,13333.33,6,24h
Republic of the Congo,2025-W43,adiac,7,100.0,12500.0,7,24h
Central African Republic,2025-W43,rapide,1,25.0,12500.0,4,7d
Antigua and Barbuda,2025-W43,antiguan,1,25.0,12500.0,4,24h
Laos,2025-W43,times,3,100.0,11111.11,3,24h
Angola,2025-W43,mandato,1,20.0,10000.0,5,24h
South Sudan,2025-W43,constituencies,1,20.0,10000.0,5,24h
Nicaragua,2025-W43,narcos,1,20.0,10000.0,5,24h
Sao Tome and Principe,2025-W43,rota,1,20.0,10000.0,5,24h
Monaco,2025-W43,fumetto,2,28.57,9523.81,7,24h
Namibia,2025-W43,namibia,3,37.5,9375.0,8,24h
Sierra Leone,2025-W43,sierra,5,55.56,9259.26,9,24h
Togo,2025-W43,impos,1,16.67,8333.33,6,24h
Gambia,2025-W43,gambia,2,25.0,8333.33,8,24h
Haiti,2025-W43,dhaiti,2,25.0,8333.33,8,24h
Lesotho,2025-W43,lesotho,2,25.0,8333.33,8,7d
Solomon Islands,2025-W43,solomon,4,40.0,8000.0,10,24h
Belize,2025-W43,belize,2,22.22,7407.41,9,24h
Gabon,2025-W43,niveleuse,1,14.29,7142.86,7,24h
North Korea,2025-W43,words,1,12.5,6250.0,8,24h
Montenegro,2025-W43,predsjednik,3,23.08,5769.23,13,24h
San Marino,2025-W43,rimini,3,23.08,5769.23,13,24h
Tajikistan,2025-W43,conf,1,11.11,5555.56,9,24h
Botswana,2025-W43,botswana,2,15.38,5128.21,13,24h
Cote d'Ivoire,2025-W43,montre,2,15.38,5128.21,13,24h
Benin,2025-W43,candidats,3,20.0,5000.0,15,24h
Malta,2025-W43,malta,7,38.89,4861.11,18,24h
Bahamas,2025-W43,bahamas,3,18.75,4687.5,16,24h
Liberia,2025-W43,boakai,4,22.22,4444.44,18,24h
Andorra,2025-W43,dandorra,4,21.05,4210.53,19,24h
Uganda,2025-W43,uganda,4,23.53,3921.57,17,24h
Barbados,2025-W43,barbados,2,15.38,3846.15,13,24h
Seychelles,2025-W43,seychelles,7,31.82,3535.35,22,7d
Burkina Faso,2025-W43,burkina,4,21.05,3508.77,19,24h
Costa Rica,2025-W43,culto,2,10.0,3333.33,20,24h
Trinidad and Tobago,2025-W43,edition,1,6.67,3333.33,15,24h
Nigeria,2025-W43,nigerian,10,33.33,3030.3,30,24h
China,2025-W43,itbear,10,33.33,3030.3,30,24h
Lithuania,2025-W43,respublika,10,33.33,3030.3,30,24h
Philippines,2025-W43,businessworld,9,30.0,3000.0,30,24h
Cyprus,2025-W43,kktc,9,30.0,3000.0,30,24h
Somalia,2025-W43,qaranimo,9,30.0,3000.0,30,24h
Nepal,2025-W43,updated,8,26.67,2962.96,30,24h
