country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Eritrea,2025-W44,rhetoric,1,100.0,50000.0,1,24h
Republic of the Congo,2025-W44,congo,1,100.0,50000.0,1,24h
Tonga,2025-W44,tongan,1,100.0,50000.0,1,24h
Eswatini,2025-W44,mnwap,1,100.0,50000.0,1,7d
Liechtenstein,2025-W44,statt,1,100.0,50000.0,1,24h
Barbados,2025-W44,olympiads,1,50.0,25000.0,2,24h
Vanuatu,2025-W44,santo,1,50.0,25000.0,2,24h
Gambia,2025-W44,barrow,2,66.67,22222.22,3,24h
Laos,2025-W44,fiction,3,75.0,18750.0,4,7d
Dominica,2025-W44,gosl,1,33.33,16666.67,3,30d
Monaco,2025-W44,lucca,2,50.0,16666.67,4,24h
Djibouti,2025-W44,guelleh,2,50.0,16666.67,4,7d
South Sudan,2025-W44,kiir,2,40.0,13333.33,5,24h
Antigua and Barbuda,2025-W44,kraftig,1,25.0,12500.0,4,24h
Maldives,2025-W44,airways,1,25.0,12500.0,4,24h
San Marino,2025-W44,dialogo,1,25.0,12500.0,4,24h
Brunei,2025-W44,brunei,8,100.0,11111.11,8,30d
Angola,2025-W44,tanz,1,20.0,10000.0,5,24h
Costa Rica,2025-W44,guzm,1,20.0,10000.0,5,24h
Benin,2025-W44,davoir,1,16.67,8333.33,6,24h
Cote d'Ivoire,2025-W44,gislatives,2,25.0,8333.33,8,24h
Grenada,2025-W44,grenada,2,25.0,8333.33,8,24h
Myanmar,2025-W44,struggle,1,14.29,7142.86,7,24h
Haiti,2025-W44,nouvelles,2,20.0,6666.67,10,24h
Turkmenistan,2025-W44,turkmenistan,4,33.33,6666.67,12,24h
Seychelles,2025-W44,boxing,2,20.0,6666.67,10,24h
Venezuela,2025-W44,correo,3,20.0,5000.0,15,24h
Nicaragua,2025-W44,superhurac,5,29.41,4901.96,17,7d
North Korea,2025-W44,informed,2,14.29,4761.9,14,24h
Suriname,2025-W44,suriname,2,14.29,4761.9,14,24h
Togo,2025-W44,togo,4,23.53,4705.88,17,24h
Fiji,2025-W44,fiji,3,18.75,4687.5,16,24h
Zambia,2025-W44,teveta,2,13.33,4444.44,15,7d
Montenegro,2025-W44,zdravlje,2,11.11,3703.7,18,24h
Burundi,2025-W44,burundi,22,84.62,3678.93,26,7d
Lesotho,2025-W44,matekane,3,13.64,3409.09,22,30d
Belize,2025-W44,belize,19,67.86,3392.86,28,7d
Central African Republic,2025-W44,personnel,2,10.0,3333.33,20,30d
Malta,2025-W44,malta,2,10.0,3333.33,20,24h
Bahrain,2025-W44,ingredients,21,72.41,3291.54,29,24h
Trinidad and Tobago,2025-W44,numbered,3,13.04,3260.87,23,24h
Senegal,2025-W44,diomaye,4,16.0,3200.0,25,24h
Chad,2025-W44,tchadien,2,9.52,3174.6,21,30d
Solomon Islands,2025-W44,solomon,19,63.33,3166.67,30,30d
Saint Lucia,2025-W44,orce,18,60.0,3157.89,30,7d
Uruguay,2025-W44,diaria,15,50.0,3125.0,30,7d
Algeria,2025-W44,eldjoumhouria,15,50.0,3125.0,30,7d
Mauritania,2025-W44,mauritanie,3,12.5,3125.0,24,24h
Somalia,2025-W44,jowhar,12,40.0,3076.92,30,7d
Slovakia,2025-W44,hnonline,11,36.67,3055.56,30,24h
Liberia,2025-W44,dawn,10,33.33,3030.3,30,30d
Burkina Faso,2025-W44,faso,10,33.33,3030.3,30,7d
Mozambique,2025-W44,nampula,2,9.09,3030.3,22,7d
Gabon,2025-W44,gabonews,9,30.0,3000.0,30,30d
Armenia,2025-W44,lurer,8,26.67,2962.96,30,24h
