country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Eswatini,2025-W44,ztcs,1,100.0,50000.0,1,7d
Vanuatu,2025-W44,playtime,1,100.0,50000.0,1,24h
Maldives,2025-W44,maldive,1,100.0,50000.0,1,24h
Zambia,2025-W44,enhance,1,100.0,33333.33,1,24h
Laos,2025-W44,fiction,2,100.0,33333.33,2,7d
Cabo Verde,2025-W44,brava,1,50.0,25000.0,2,24h
Burundi,2025-W44,burundi,3,100.0,25000.0,3,24h
Eritrea,2025-W44,asmara,1,50.0,25000.0,2,24h
Mozambique,2025-W44,gare,1,50.0,25000.0,2,24h
Central African Republic,2025-W44,appui,1,50.0,25000.0,2,7d
Gambia,2025-W44,donor,1,33.33,16666.67,3,24h
Uzbekistan,2025-W44,icpc,1,33.33,16666.67,3,24h
Dominica,2025-W44,consultancy,1,33.33,16666.67,3,30d
Samoa,2025-W44,billions,1,33.33,16666.67,3,7d
Djibouti,2025-W44,guelleh,2,50.0,16666.67,4,7d
Saint Lucia,2025-W44,orce,5,83.33,13888.89,6,24h
Liechtenstein,2025-W44,statt,1,25.0,12500.0,4,7d
Angola,2025-W44,registo,1,25.0,12500.0,4,24h
Rwanda,2025-W44,rwanda,3,60.0,12000.0,5,24h
Monaco,2025-W44,lucca,3,42.86,10714.29,7,24h
Botswana,2025-W44,swamped,1,20.0,10000.0,5,24h
Republic of the Congo,2025-W44,adiac,6,66.67,9523.81,9,24h
Montenegro,2025-W44,ivanje,2,28.57,9523.81,7,24h
Tanzania,2025-W44,yatoa,3,37.5,9375.0,8,24h
Ethiopia,2025-W44,nations,4,44.44,8888.89,9,24h
San Marino,2025-W44,rimini,3,30.0,7500.0,10,24h
Turkmenistan,2025-W44,ciet,8,66.67,7407.41,12,24h
Haiti,2025-W44,lections,2,22.22,7407.41,9,24h
Antigua and Barbuda,2025-W44,kraftig,2,22.22,7407.41,9,24h
Saint Vincent and the Grenadines,2025-W44,fraternity,1,14.29,7142.86,7,24h
Chad,2025-W44,tchadien,1,14.29,7142.86,7,7d
South Sudan,2025-W44,kiir,2,20.0,6666.67,10,24h
Gabon,2025-W44,mortalit,1,12.5,6250.0,8,24h
Brunei,2025-W44,brunei,16,100.0,5882.35,16,24h
Cote d'Ivoire,2025-W44,dalassane,2,22.22,5555.56,9,24h
Nicaragua,2025-W44,superhurac,5,33.33,5555.56,15,7d
Tonga,2025-W44,tongan,1,11.11,5555.56,9,7d
Somalia,2025-W44,jowhar,5,33.33,5555.56,15,24h
Lesotho,2025-W44,matekane,3,20.0,5000.0,15,7d
Myanmar,2025-W44,myanmar,2,13.33,4444.44,15,24h
Grenada,2025-W44,grenadian,2,13.33,4444.44,15,7d
Georgia,2025-W44,georgia,6,28.57,4081.63,21,24h
Sao Tome and Principe,2025-W44,energia,3,15.79,3947.37,19,7d
Mongolia,2025-W44,cologne,1,7.69,3846.15,13,24h
Syria,2025-W44,rabe,3,15.0,3750.0,20,24h
Costa Rica,2025-W44,guzm,2,11.11,3703.7,18,24h
Oman,2025-W44,oman,4,18.18,3636.36,22,24h
Benin,2025-W44,nouvelle,5,35.71,3571.43,14,24h
Liberia,2025-W44,dawn,11,42.31,3525.64,26,24h
Sierra Leone,2025-W44,safe,2,10.53,3508.77,19,24h
North Korea,2025-W44,north,7,43.75,3365.38,16,24h
Andorra,2025-W44,dandorra,9,33.33,3333.33,27,24h
Uganda,2025-W44,uganda,5,20.0,3333.33,25,24h
Senegal,2025-W44,prolonge,2,9.52,3174.6,21,24h
Barbados,2025-W44,custody,1,6.25,3125.0,16,24h
India,2025-W44,shillong,14,46.67,3111.11,30,24h
Burkina Faso,2025-W44,faso,5,21.74,3105.59,23,24h
Colombia,2025-W44,colombia,13,43.33,3095.24,30,24h
Malta,2025-W44,malta,5,18.52,3086.42,27,24h
Suriname,2025-W44,suriname,4,15.38,3076.92,26,24h
Belize,2025-W44,belize,23,76.67,3066.67,30,24h
Armenia,2025-W44,lurer,10,33.33,3030.3,30,24h
Nepal,2025-W44,nepal,10,33.33,3030.3,30,24h
Uruguay,2025-W44,diaria,10,33.33,3030.3,30,24h
Slovenia,2025-W44,novica,9,30.0,3000.0,30,24h
Paraguay,2025-W44,naci,9,30.0,3000.0,30,24h
Fiji,2025-W44,fiji,5,17.86,2976.19,28,24h
Seychelles,2025-W44,herminie,5,17.86,2976.19,28,7d
Romania,2025-W44,sunt,6,20.69,2955.67,29,24h
Togo,2025-W44,propre,1,5.88,2941.18,17,24h
Luxembourg,2025-W44,cran,7,23.33,2916.67,30,24h
Solomon Islands,2025-W44,solomon,19,63.33,2878.79,30,7d
Australia,2025-W44,chronicle,6,20.0,2857.14,30,24h
Cameroon,2025-W44,cameroun,23,79.31,2832.51,29,24h
Czechia,2025-W44,detail,5,16.67,2777.78,30,24h
Bolivia,2025-W44,lara,5,16.67,2777.78,30,24h
New Zealand,2025-W44,wellington,5,16.67,2777.78,30,24h
Norway,2025-W44,ukeblad,5,16.67,2777.78,30,24h
Lebanon,2025-W44,lebanon,5,16.67,2777.78,30,24h
Malawi,2025-W44,malawi,5,16.67,2777.78,30,24h
Indonesia,2025-W44,untuk,5,16.67,2777.78,30,24h
Kosovo,2025-W44,osmani,5,16.67,2777.78,30,24h
Venezuela,2025-W44,psuv,3,11.11,2777.78,27,24h
Sweden,2025-W44,dagensbok,5,16.67,2777.78,30,24h
Ecuador,2025-W44,correo,9,30.0,2727.27,30,24h
Thailand,2025-W44,bangkok,8,26.67,2666.67,30,24h
Cuba,2025-W44,prensa,4,13.33,2666.67,30,24h
Croatia,2025-W44,jutarnji,4,13.33,2666.67,30,24h
Philippines,2025-W44,quarter,16,53.33,2666.67,30,24h
Singapore,2025-W44,singapore,4,13.33,2666.67,30,24h
Sri Lanka,2025-W44,lankadeepa,4,13.33,2666.67,30,24h
Peru,2025-W44,puno,4,13.33,2666.67,30,24h
Finland,2025-W44,alkuun,4,13.33,2666.67,30,24h
Guyana,2025-W44,guyana,4,13.33,2666.67,30,24h
Germany,2025-W44,agency,4,13.33,2666.67,30,24h
Netherlands,2025-W44,niet,4,13.33,2666.67,30,24h
Belarus,2025-W44,belarus,4,13.33,2666.67,30,24h
