country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles,timeframe
Dominica,2025-W43,consultancy,1,100.0,50000.0,1,7d
Nicaragua,2025-W43,jaros,1,100.0,50000.0,1,24h
Laos,2025-W43,trieste,2,100.0,33333.33,2,7d
Samoa,2025-W43,telecomdaily,1,50.0,25000.0,2,24h
Lesotho,2025-W43,hotspot,1,50.0,25000.0,2,7d
Djibouti,2025-W43,command,2,66.67,22222.22,3,7d
Solomon Islands,2025-W43,solomon,3,75.0,18750.0,4,24h
Gambia,2025-W43,burden,1,33.33,16666.67,3,24h
Chad,2025-W43,dins,1,33.33,16666.67,3,24h
Monaco,2025-W43,altopascio,2,50.0,16666.67,4,24h
Tonga,2025-W43,tonga,2,50.0,16666.67,4,7d
Maldives,2025-W43,probing,1,33.33,16666.67,3,24h
Cabo Verde,2025-W43,verde,3,60.0,15000.0,5,24h
Eritrea,2025-W43,programs,2,40.0,13333.33,5,24h
Central African Republic,2025-W43,zigu,1,25.0,12500.0,4,7d
Eswatini,2025-W43,merger,1,25.0,12500.0,4,30d
Liechtenstein,2025-W43,beate,1,25.0,12500.0,4,7d
Republic of the Congo,2025-W43,adiac,5,71.43,11904.76,7,24h
Saint Lucia,2025-W43,orce,5,71.43,11904.76,7,24h
Seychelles,2025-W43,seychelles,2,33.33,11111.11,6,24h
Saint Vincent and the Grenadines,2025-W43,gonsalves,2,33.33,11111.11,6,24h
Rwanda,2025-W43,therwandan,2,28.57,9523.81,7,24h
Burundi,2025-W43,burundi,6,66.67,9523.81,9,24h
Ethiopia,2025-W43,newspaper,2,33.33,8333.33,6,24h
Grenada,2025-W43,grenada,3,33.33,8333.33,9,7d
Zambia,2025-W43,zapd,1,16.67,8333.33,6,24h
Sao Tome and Principe,2025-W43,jornal,8,66.67,7407.41,12,24h
Haiti,2025-W43,alterpresse,4,36.36,7272.73,11,24h
Cote d'Ivoire,2025-W43,luzzi,1,14.29,7142.86,7,24h
Angola,2025-W43,louren,2,20.0,6666.67,10,24h
Montenegro,2025-W43,desnicom,1,12.5,6250.0,8,24h
Botswana,2025-W43,mmegi,3,25.0,6250.0,12,24h
Mozambique,2025-W43,investimentos,1,12.5,6250.0,8,24h
Vanuatu,2025-W43,adjourns,1,12.5,6250.0,8,24h
San Marino,2025-W43,marino,3,25.0,6250.0,12,24h
Gabon,2025-W43,gabonews,3,25.0,6250.0,12,24h
Turkmenistan,2025-W43,turkmenistan,3,30.0,6000.0,10,24h
Burkina Faso,2025-W43,burkina,5,35.71,5952.38,14,24h
Andorra,2025-W43,dandorra,3,20.0,5000.0,15,24h
Georgia,2025-W43,patriarch,1,9.09,4545.45,11,24h
North Korea,2025-W43,belarus,1,9.09,4545.45,11,24h
South Sudan,2025-W43,yambio,2,13.33,4444.44,15,24h
Togo,2025-W43,plaide,2,13.33,4444.44,15,24h
Democratic Republic of the Congo,2025-W43,goma,2,11.76,3921.57,17,24h
Antigua and Barbuda,2025-W43,styrkelse,1,7.69,3846.15,13,24h
Senegal,2025-W43,babacar,8,33.33,3703.7,24,24h
Benin,2025-W43,officiel,2,11.11,3703.7,18,24h
Namibia,2025-W43,republikein,5,21.74,3623.19,23,24h
Bahamas,2025-W43,bahamas,5,25.0,3571.43,20,24h
Oman,2025-W43,oman,6,28.57,3571.43,21,24h
Somalia,2025-W43,jowhar,7,28.0,3500.0,25,24h
Belize,2025-W43,belize,22,78.57,3416.15,28,24h
Trinidad and Tobago,2025-W43,migrants,3,13.64,3409.09,22,24h
Brunei,2025-W43,brunei,30,100.0,3225.81,30,30d
Barbados,2025-W43,barbados,5,19.23,3205.13,26,24h
Malta,2025-W43,malta,4,16.0,3200.0,25,24h
Liberia,2025-W43,regains,2,9.52,3174.6,21,24h
Armenia,2025-W43,lurer,20,66.67,3174.6,30,24h
Austria,2025-W43,tiroler,11,36.67,3055.56,30,24h
Ecuador,2025-W43,grafo,10,33.33,3030.3,30,24h
Uganda,2025-W43,uganda,7,24.14,3017.24,29,24h
Lebanon,2025-W43,tayyar,9,30.0,3000.0,30,24h
Poland,2025-W43,wprost,9,30.0,3000.0,30,24h
Philippines,2025-W43,manila,9,30.0,3000.0,30,24h
Singapore,2025-W43,murasu,8,26.67,2962.96,30,24h
Zimbabwe,2025-W43,mnangagwa,8,26.67,2962.96,30,24h
Slovakia,2025-W43,hnonline,6,20.69,2955.67,29,24h
Guinea,2025-W43,guinee,6,20.69,2955.67,29,24h
Suriname,2025-W43,proces,1,5.88,2941.18,17,24h
Nepal,2025-W43,updated,7,23.33,2916.67,30,24h
Hungary,2025-W43,magyar,7,23.33,2916.67,30,24h
Moldova,2025-W43,ziarul,6,20.0,2857.14,30,24h
Malawi,2025-W43,malawi,12,40.0,2857.14,30,24h
Iran,2025-W43,iranpressnews,6,20.0,2857.14,30,24h
Kuwait,2025-W43,kuwait,11,36.67,2820.51,30,24h
Cuba,2025-W43,santiago,5,16.67,2777.78,30,24h
United Arab Emirates,2025-W43,gulf,5,16.67,2777.78,30,24h
Vietnam,2025-W43,trong,5,16.67,2777.78,30,24h
